mukey,ssurgo_si_ft,ssurgo_si_base,n_components,ssurgo_si_m
328133,85.448275862069,,3,26.0446344827586
1453445,64.5050847457627,,7,19.6611498305085
323394,59.7978723404255,,5,18.2263914893617
327009,89.5,,1,27.2796
1473303,64.67,,5,19.711416
1473356,62.6438848920863,,4,19.0938561151079
1483428,63.2987012987013,,5,19.2934441558442
323202,74.1105769230769,,4,22.5889038461539
3236275,73,,6,22.2504
323635,74.99,,7,22.856952
1586101,89.6772151898734,,4,27.3336151898734
1454443,83.9666666666667,,4,25.59304
1414102,77.5531914893617,,9,23.6382127659575
2888417,87.8030690537084,,3,26.7623754475703
2760766,90.5714285714286,,2,27.6061714285714
1413532,64.0551724137931,,7,19.5240165517241
324005,79.7161716171617,,11,24.2974891089109
1023328,81.7781690140845,,5,24.925985915493
2760780,76.8888888888889,,3,23.4357333333333
1529449,97.2,,5,29.62656
824163,91.12,,3,27.773376
376888,89.2631578947368,,3,27.2074105263158
322747,83.0789473684211,,4,25.3224631578947
322092,74.4315245478036,,5,22.6867286821705
320823,81.6624605678234,,9,24.8907179810726
1392016,85.8053691275168,,4,26.1534765100671
2888413,85.7142857142857,,3,26.1257142857143
1421089,67.8143459915612,,5,20.6698126582279
2760814,91.9259259259259,,5,28.0190222222222
3102973,76.1904761904762,,5,23.2228571428571
327017,84.6153846153846,,3,25.7907692307692
332590,84.1516129032258,,5,25.6494116129032
332420,83.5617021276596,,5,25.4696068085106
1453585,57.5627009646302,,6,17.5451112540193
700471,72.5,,2,22.098
1472746,91.3401360544218,,3,27.8404734693878
1407291,55.7889273356402,,6,17.0044650519031
886569,73.2978723404255,,2,22.3411914893617
1453463,77.2178571428572,,8,23.5360028571429
1407297,69.4324324324324,,4,21.1630054054054
1380297,80.62,,6,24.572976
631635,86.0632411067194,,3,26.2320758893281
1424919,86.7633333333333,,5,26.445464
1454433,77.4193548387097,,3,23.5974193548387
1477091,80.8971631205674,,6,24.6574553191489
323636,100,,4,30.48
1544130,71.3414634146342,,7,21.7448780487805
336596,78,,1,23.7744
2888429,90.427135678392,,4,27.5621909547739
577018,90,,1,27.432
366772,75,,1,22.86
1148826,81.6666666666667,,4,24.892
823805,95.4,,3,29.07792
320782,81.2414965986395,,4,24.7624081632653
1414074,75.3605769230769,,10,22.9699038461539
322097,85.05,,5,25.92324
1399053,84.1428571428572,,6,25.6467428571429
700490,76.75,,4,23.3934
823768,73.5979381443299,,6,22.4326515463918
1483885,66.1766233766234,,7,20.1706348051948
1444688,74.0677966101695,,5,22.5758644067797
1529418,63.2987012987013,,5,19.2934441558442
1725689,86.6666666666667,,1,26.416
320821,83.1067961165049,,6,25.3309514563107
1454454,87.5675675675676,,7,26.6905945945946
1413535,56.7176781002639,,5,17.2875482849604
1392011,65.4081632653061,,5,19.9364081632653
1725704,98.06,,2,29.888688
1477097,69.5833333333333,,2,21.209
1384129,74.622641509434,,6,22.7449811320755
2888296,85.9784946236559,,3,26.2062451612903
1453473,64.65,,5,19.70532
3260445,93.7037037037037,,3,28.5608888888889
1444878,89.6116504854369,,5,27.3136310679612
1451686,95.4132231404959,,3,29.0819504132231
379708,84.7227722772277,,3,25.823500990099
824142,104.655172413793,,3,31.8988965517241
700472,71.2925170068027,,6,21.7299591836735
576228,84,,1,25.6032
332585,83.8169230769231,,5,25.5473981538462
886573,75,,5,22.86
1381564,82.5466666666667,,5,25.160224
1413492,35,,1,10.668
1481003,83.3666666666667,,4,25.41016
332430,82.9384615384615,,4,25.2796430769231
1392059,83.7,,5,25.51176
379670,94.68,,3,28.858464
2888462,85.9784946236559,,3,26.2062451612903
1023324,84.3157894736842,,5,25.6994526315789
321067,62.9166666666667,,5,19.177
320739,75,,2,22.86
325445,80.75,,1,24.6126
2888280,94.3866666666667,,4,28.769056
1542296,75,,4,22.86
132853,74.1172413793104,,8,22.5909351724138
1479388,94.68,,3,28.858464
1414062,72.2564102564103,,15,22.0237538461538
1481032,83.0634146341463,,3,25.3177287804878
1414081,65.5867346938776,,9,19.9908367346939
320797,86.6666666666667,,4,26.416
1381576,78.8816199376947,,5,24.0431177570094
1712939,75,,2,22.86
2888444,95.2467532467533,,2,29.0312103896104
328140,84.3018867924528,,2,25.6952150943396
323657,87.1938775510204,,7,26.576693877551
797458,77.2597402597403,,6,23.5487688311688
332452,78.7060606060606,,6,23.9896072727273
132800,77.1342281879195,,7,23.5105127516779
1480998,86.61872909699,,6,26.4013886287625
1460082,75.1404682274248,,6,22.9028147157191
1454425,63.3098591549296,,5,19.2968450704225
322095,74.1105769230769,,4,22.5889038461539
374438,93.719298245614,,3,28.5656421052632
