plot_key,SI_gada_plot,SI_gada_n,n_species
44.9566_-121.5726,19.3330859486029,9,1
46.3487_-122.4937,32.9680587996761,13,1
45.801_-123.691,35.0745186841356,11,1
39.6853_-107.1552,16.2305038814898,6,1
48.4937_-119.8506,28.6176575275588,6,1
44.5054_-119.1099,23.9894919184859,6,1
42.0523_-121.9709,25.2810772340999,3,1
44.5485_-122.411,24.3178939358881,10,1
40.4474_-124.1028,44.8056729048895,6,1
36.3248_-105.5024,14.4135555772682,4,1
41.9116_-111.5404,12.6318335761155,7,1
45.012_-121.7835,22.6009447035071,6,1
44.6919_-112.8921,17.3290689400516,5,1
44.4001_-122.2051,29.9140550552057,6,1
40.6332_-123.0539,22.4282453580401,13,1
35.1489_-106.4354,10.9625111300597,2,1
46.6903_-123.3724,34.0811776528562,29,1
42.9378_-123.9873,31.5933605984568,11,1
42.0272_-124.082,44.6017590195094,42,1
36.8244_-104.6114,15.0819319104424,2,1
45.6742_-122.0902,31.6778187532047,13,1
40.2549_-123.1967,28.7686092462763,8,1
46.7314_-123.4609,35.423031318429,21,1
44.1774_-122.2744,38.8192250615692,5,1
47.6246_-123.1156,20.2460514549226,20,1
44.2219_-122.5622,26.6182231230959,21,1
42.5568_-124.3299,36.9862085477076,34,1
45.0405_-114.6481,13.1450891087194,3,1
45.0293_-121.5413,16.9590377992088,9,1
47.9032_-118.0792,17.7626077984995,7,1
37.0464_-105.3347,13.5249317605005,5,1
45.9518_-122.2738,42.5055786785382,12,1
33.4134_-108.0532,16.5111162311675,5,1
43.8271_-124.0506,33.4340365084603,22,1
47.4493_-115.8775,21.5373595743717,2,1
45.6881_-122.0226,36.5183839124406,8,1
45.9683_-112.304,9.44533447763667,5,1
44.2626_-119.0273,22.9981586653049,2,1
37.178_-105.2248,13.9635302188084,5,1
46.1803_-115.3749,21.5480193251515,4,1
43.3796_-123.0392,30.3956876415442,12,1
47.3288_-120.4236,19.984987702207,5,1
43.778_-123.4938,23.923299707664,20,1
43.6882_-122.8786,37.7745386759772,19,1
47.33_-121.9394,34.7298852338429,20,1
42.0613_-124.0233,35.8151949267701,21,1
45.7459_-123.3231,34.9072485020981,31,1
39.9819_-111.2329,12.0277126465911,2,1
40.6801_-122.902,26.9215191537077,31,1
48.6_-122.2525,38.7096659962329,10,1
40.7646_-122.9463,25.1269778809999,2,1
43.734_-123.2739,38.6873958178435,16,1
43.74_-123.0181,36.4579384958869,14,1
44.2269_-113.7572,9.23095056445287,4,1
47.1073_-121.9733,27.180772397719,15,1
41.189_-123.2348,26.3765702970436,6,1
43.7275_-114.1453,17.1223426859448,4,1
47.338_-123.5084,19.9188836313904,25,1
40.9999_-121.716,26.1193269556359,6,1
44.4453_-122.0015,36.856376556786,6,1
47.2804_-123.006,19.6290238452568,14,1
48.6125_-119.6947,15.3240435167023,6,1
33.8597_-108.4615,19.4247094750503,5,1
41.1022_-124.1085,34.0917362484948,14,1
46.9805_-123.1701,30.5114965925042,15,1
41.9025_-123.263,34.2947268558222,15,1
48.5491_-120.0708,15.3442319409668,8,1
47.5725_-123.8726,26.1519939321966,10,1
40.8731_-123.9041,28.1521046739511,10,1
42.5404_-122.9808,14.8865078579418,4,1
47.67_-115.1327,20.0555642308757,4,1
46.4818_-122.4287,35.1071017994254,28,1
44.7588_-118.0604,21.2086316866897,2,1
43.5625_-122.7602,31.4010605263896,10,1
43.9579_-113.4271,13.2187368102025,5,1
47.9696_-114.7919,14.3712960222708,3,1
46.4629_-121.8227,25.1837415207346,19,1
41.3885_-123.9647,29.4970090809709,6,1
42.8519_-122.9676,14.0346101575407,10,1
37.7345_-107.667,13.4571499939506,7,1
42.1044_-124.0575,34.1621500686612,30,1
43.6067_-121.8798,26.8514653420348,7,1
44.3665_-113.3291,10.0672514041085,1,1
42.378_-122.3349,30.4597053683776,6,1
45.7554_-123.5954,43.3126784816625,10,1
44.2632_-119.263,20.6203305905321,6,1
47.6593_-114.8736,17.1276779717022,6,1
48.603_-121.0058,11.447255330576,2,1
44.8981_-114.6123,18.210181910455,4,1
45.6082_-117.24,21.7803573013287,9,1
38.859_-123.5046,29.4153636971711,12,1
45.9941_-123.5278,43.8057831532209,23,1
48.7337_-120.7355,23.4322343070612,6,1
48.687_-118.2061,17.9447432157977,6,1
44.0421_-115.5295,19.014120858007,6,1
